item_id,style_src,style_tgt,split,X_path,Z_path,Y_path
train_000000,style_000652,style_000617,train,rolls/style_000617/train_000000_X.npz,rolls/style_000617/train_000000_Z.npz,rolls/style_000617/train_000000_Y.npz
train_000001,style_002736,style_000617,train,rolls/style_000617/train_000001_X.npz,rolls/style_000617/train_000001_Z.npz,rolls/style_000617/train_000001_Y.npz
train_000002,style_001354,style_002571,train,rolls/style_002571/train_000002_X.npz,rolls/style_002571/train_000002_Z.npz,rolls/style_002571/train_000002_Y.npz
train_000003,style_002085,style_002571,train,rolls/style_002571/train_000003_X.npz,rolls/style_002571/train_000003_Z.npz,rolls/style_002571/train_000003_Y.npz
train_000004,style_000284,style_002172,train,rolls/style_002172/train_000004_X.npz,rolls/style_002172/train_000004_Z.npz,rolls/style_002172/train_000004_Y.npz
train_000005,style_000554,style_002172,train,rolls/style_002172/train_000005_X.npz,rolls/style_002172/train_000005_Z.npz,rolls/style_002172/train_000005_Y.npz
train_000006,style_002712,style_000559,train,rolls/style_000559/train_000006_X.npz,rolls/style_000559/train_000006_Z.npz,rolls/style_000559/train_000006_Y.npz
train_000007,style_001701,style_000559,train,rolls/style_000559/train_000007_X.npz,rolls/style_000559/train_000007_Z.npz,rolls/style_000559/train_000007_Y.npz
train_000008,style_001531,style_001764,train,rolls/style_001764/train_000008_X.npz,rolls/style_001764/train_000008_Z.npz,rolls/style_001764/train_000008_Y.npz
train_000009,style_002780,style_001764,train,rolls/style_001764/train_000009_X.npz,rolls/style_001764/train_000009_Z.npz,rolls/style_001764/train_000009_Y.npz
train_000010,style_000313,style_002662,train,rolls/style_002662/train_000010_X.npz,rolls/style_002662/train_000010_Z.npz,rolls/style_002662/train_000010_Y.npz
train_000011,style_002157,style_002662,train,rolls/style_002662/train_000011_X.npz,rolls/style_002662/train_000011_Z.npz,rolls/style_002662/train_000011_Y.npz
train_000012,style_001003,style_000762,train,rolls/style_000762/train_000012_X.npz,rolls/style_000762/train_000012_Z.npz,rolls/style_000762/train_000012_Y.npz
train_000013,style_000859,style_000762,train,rolls/style_000762/train_000013_X.npz,rolls/style_000762/train_000013_Z.npz,rolls/style_000762/train_000013_Y.npz
train_000014,style_001652,style_002167,train,rolls/style_002167/train_000014_X.npz,rolls/style_002167/train_000014_Z.npz,rolls/style_002167/train_000014_Y.npz
train_000015,style_000413,style_002167,train,rolls/style_002167/train_000015_X.npz,rolls/style_002167/train_000015_Z.npz,rolls/style_002167/train_000015_Y.npz
train_000016,style_000337,style_000789,train,rolls/style_000789/train_000016_X.npz,rolls/style_000789/train_000016_Z.npz,rolls/style_000789/train_000016_Y.npz
train_000017,style_002864,style_000789,train,rolls/style_000789/train_000017_X.npz,rolls/style_000789/train_000017_Z.npz,rolls/style_000789/train_000017_Y.npz
train_000018,style_000246,style_002732,train,rolls/style_002732/train_000018_X.npz,rolls/style_002732/train_000018_Z.npz,rolls/style_002732/train_000018_Y.npz
train_000019,style_002579,style_002732,train,rolls/style_002732/train_000019_X.npz,rolls/style_002732/train_000019_Z.npz,rolls/style_002732/train_000019_Y.npz
train_000020,style_002869,style_001609,train,rolls/style_001609/train_000020_X.npz,rolls/style_001609/train_000020_Z.npz,rolls/style_001609/train_000020_Y.npz
train_000021,style_000145,style_001609,train,rolls/style_001609/train_000021_X.npz,rolls/style_001609/train_000021_Z.npz,rolls/style_001609/train_000021_Y.npz
train_000022,style_002413,style_002088,train,rolls/style_002088/train_000022_X.npz,rolls/style_002088/train_000022_Z.npz,rolls/style_002088/train_000022_Y.npz
train_000023,style_000783,style_002088,train,rolls/style_002088/train_000023_X.npz,rolls/style_002088/train_000023_Z.npz,rolls/style_002088/train_000023_Y.npz
train_000024,style_000600,style_001106,train,rolls/style_001106/train_000024_X.npz,rolls/style_001106/train_000024_Z.npz,rolls/style_001106/train_000024_Y.npz
train_000025,style_000139,style_001106,train,rolls/style_001106/train_000025_X.npz,rolls/style_001106/train_000025_Z.npz,rolls/style_001106/train_000025_Y.npz
train_000026,style_000705,style_000948,train,rolls/style_000948/train_000026_X.npz,rolls/style_000948/train_000026_Z.npz,rolls/style_000948/train_000026_Y.npz
train_000027,style_001641,style_000948,train,rolls/style_000948/train_000027_X.npz,rolls/style_000948/train_000027_Z.npz,rolls/style_000948/train_000027_Y.npz
train_000028,style_001268,style_001513,train,rolls/style_001513/train_000028_X.npz,rolls/style_001513/train_000028_Z.npz,rolls/style_001513/train_000028_Y.npz
train_000029,style_001017,style_001513,train,rolls/style_001513/train_000029_X.npz,rolls/style_001513/train_000029_Z.npz,rolls/style_001513/train_000029_Y.npz
train_000030,style_001777,style_001246,train,rolls/style_001246/train_000030_X.npz,rolls/style_001246/train_000030_Z.npz,rolls/style_001246/train_000030_Y.npz
train_000031,style_002488,style_001246,train,rolls/style_001246/train_000031_X.npz,rolls/style_001246/train_000031_Z.npz,rolls/style_001246/train_000031_Y.npz
train_000032,style_001375,style_001200,train,rolls/style_001200/train_000032_X.npz,rolls/style_001200/train_000032_Z.npz,rolls/style_001200/train_000032_Y.npz
